"","trust_government","health_satisfaction","transport_satisfaction","admin_satisfaction","social_satisfaction","financial_satisfaction","food_markets_satisfaction","non_food_markets_satisfaction"
"2389",-2,0,2,NA,NA,NA,-1,-2
"2390",1,NA,-1,2,NA,2,-1,2
"2391",-2,-1,-2,NA,NA,NA,-1,-1
"2392",0,2,1,NA,NA,-1,2,2
"2393",-2,1,0,NA,NA,1,1,1
"2394",2,-1,0,2,NA,2,2,2
"2395",2,NA,-2,NA,NA,1,-1,1
"2396",1,NA,2,2,NA,-1,-1,2
"2397",1,1,1,NA,NA,1,1,1
"2398",-2,NA,2,NA,NA,0,1,1
"2399",0,NA,1,NA,NA,1,1,1
"2400",-2,NA,-1,NA,NA,2,1,1
"2401",1,NA,NA,1,NA,2,1,1
"2402",1,NA,NA,NA,NA,2,2,2
"2403",-2,-1,1,NA,NA,1,2,2
"2404",-2,-1,-2,1,NA,1,1,1
"2405",-2,NA,NA,-1,NA,1,2,2
"2406",2,NA,NA,2,NA,1,-2,-1
"2407",1,NA,NA,1,NA,1,1,1
"2408",2,NA,NA,NA,NA,1,-2,-1
"2409",0,-1,NA,NA,NA,2,2,2
"2410",-1,NA,0,NA,NA,1,1,1
"2411",1,NA,NA,NA,NA,2,2,2
"2412",0,1,0,NA,NA,1,1,1
"2413",-1,-1,1,NA,NA,1,-1,-1
"2414",0,NA,0,NA,NA,1,1,1
"2415",-1,NA,NA,NA,NA,2,1,1
"2416",1,2,NA,NA,NA,2,1,1
"2417",-1,NA,NA,NA,NA,2,1,1
"2418",1,-2,1,NA,2,NA,1,1
"2419",-2,NA,NA,NA,2,NA,NA,NA
"2420",0,1,1,-1,NA,1,1,1
"2421",1,-1,NA,1,NA,2,2,2
"2422",-2,NA,0,NA,NA,1,1,1
"2423",-2,NA,0,NA,NA,1,1,1
"2424",-2,1,0,1,NA,1,1,1
"2425",-2,NA,NA,1,NA,1,1,1
"2426",-2,NA,0,NA,NA,1,1,1
"2427",-2,NA,0,NA,NA,1,1,1
"2428",1,NA,1,NA,1,1,1,2
"2429",-2,NA,NA,NA,NA,1,-1,-1
"2430",1,NA,NA,NA,NA,1,-1,-1
"2431",0,NA,-1,NA,NA,-1,-2,-2
"2432",1,-2,NA,NA,-1,1,-2,-2
"2433",-2,NA,NA,NA,-1,1,1,1
"2434",2,-1,NA,2,NA,2,2,2
"2435",-2,-2,NA,NA,NA,-1,-2,-2
"2436",2,NA,NA,NA,NA,2,2,2
"2437",-1,-2,NA,NA,NA,2,2,2
"2438",-1,2,2,NA,NA,2,2,2
"2439",-2,NA,2,NA,NA,2,2,2
"2440",-2,-2,1,NA,NA,1,-1,NA
"2441",2,-2,NA,NA,NA,1,1,1
"2442",-2,-1,NA,NA,NA,1,1,NA
"2443",-2,NA,NA,NA,NA,1,1,1
"2444",-2,NA,1,NA,NA,1,1,1
"2445",-2,NA,0,NA,0,1,1,-1
"2446",2,NA,1,NA,NA,2,-1,-1
"2447",-1,NA,2,NA,NA,2,2,2
"2448",-2,NA,NA,NA,NA,2,-1,-1
"2449",-1,NA,NA,NA,NA,2,-1,-1
"2450",-2,NA,1,NA,NA,2,-2,-1
"2451",-1,2,NA,NA,2,2,-1,-1
"2452",-2,NA,NA,-1,NA,-1,1,0
"2453",-2,NA,NA,NA,NA,-1,1,1
"2454",-2,-1,NA,NA,NA,-1,-1,1
"2455",0,1,1,NA,NA,-1,2,1
"2456",1,NA,NA,NA,NA,1,1,1
"2457",-2,NA,0,NA,NA,-1,1,-1
"2458",-2,NA,NA,NA,NA,1,1,-1
"2459",-2,NA,NA,NA,NA,1,-1,-1
"2460",-2,NA,-1,NA,NA,2,-1,-1
"2461",-2,-1,NA,0,NA,1,1,1
"2462",-2,-1,-1,NA,NA,1,1,1
"2463",1,-1,1,NA,NA,2,-1,-1
"2464",1,-1,NA,NA,NA,2,-1,-1
"2465",-2,NA,NA,NA,NA,NA,2,2
"2466",1,-1,NA,1,NA,2,-1,-1
"2467",1,-1,-1,-1,2,2,-1,2
"2468",1,NA,NA,NA,NA,2,2,2
"2469",-2,NA,NA,NA,NA,2,-1,-1
"2470",-2,0,2,NA,NA,2,1,-2
"2471",-2,NA,NA,NA,NA,NA,-1,-1
"2472",-2,NA,-1,2,NA,NA,-1,1
"2473",-2,NA,NA,NA,NA,NA,1,1
"2474",-2,NA,2,NA,NA,NA,-2,-2
"2475",-1,-1,NA,NA,NA,2,1,1
"2476",0,NA,NA,NA,NA,2,2,-1
"2477",0,NA,NA,NA,NA,2,2,2
"2478",-1,NA,NA,NA,NA,2,2,2
"2479",0,NA,NA,NA,NA,2,2,0
"2480",-1,NA,NA,NA,NA,-1,2,2
"2481",-1,NA,0,1,NA,0,2,2
"2482",2,NA,0,NA,NA,0,1,1
"2483",0,-1,1,NA,NA,-1,-1,-1
"2484",-1,1,-1,NA,NA,-1,-1,-1
"2485",-2,-1,-1,NA,NA,1,2,2
"2486",1,NA,1,NA,NA,1,1,1
"2487",1,-1,1,NA,NA,2,-1,-1
"2488",-1,NA,1,2,NA,-1,2,0
"2489",-1,1,1,NA,NA,-1,-1,NA
"2490",-2,-2,1,NA,NA,0,-1,NA
"2491",-2,-1,2,NA,NA,-1,-1,-1
"2492",-1,-1,-1,NA,NA,2,1,1
"2493",1,NA,0,1,NA,1,-1,-1
"2494",1,NA,0,NA,NA,-1,1,1
"2495",1,NA,0,NA,NA,0,1,1
"2496",1,NA,1,1,NA,1,-1,-1
"2497",1,NA,NA,NA,NA,-1,-1,-1
"2498",1,NA,-1,NA,NA,1,-1,-1
"2499",1,NA,NA,1,1,1,-1,-1
"2500",-2,-1,-1,1,1,1,-1,-1
"2501",-1,NA,1,NA,1,-1,-1,-1
"2502",-2,NA,1,NA,1,-1,-1,-1
"2503",-2,1,NA,1,1,NA,-1,-1
"2504",1,-1,-1,NA,1,-1,-1,-1
"2505",-2,-2,1,1,NA,-1,1,1
"2506",1,2,-1,-1,NA,1,1,1
"2507",-2,NA,0,NA,NA,1,0,0
"2508",-2,NA,0,1,NA,-1,1,1
"2509",0,NA,NA,NA,NA,0,-1,-1
"2510",-2,1,0,NA,NA,1,1,1
"2511",-2,-1,2,2,NA,2,-2,-1
"2512",-1,NA,1,NA,NA,1,1,1
"2513",-1,-1,-1,2,NA,-1,-1,1
"2514",-2,-1,-1,NA,NA,1,-1,1
"2515",-2,1,1,NA,NA,2,1,1
"2516",-2,NA,1,NA,NA,1,1,1
"2517",-2,NA,1,NA,NA,1,-1,1
"2518",-2,1,1,NA,NA,1,1,1
"2519",-1,NA,0,NA,NA,1,1,1
"2520",0,NA,1,NA,1,1,1,1
"2521",-1,NA,1,NA,NA,1,1,1
"2522",-2,NA,1,0,NA,1,1,1
"2523",-2,NA,-1,1,NA,0,1,1
"2524",-2,NA,1,NA,NA,1,1,1
"2525",-1,NA,1,1,NA,1,1,1
"2526",1,NA,-1,NA,1,1,1,1
"2527",-1,NA,1,NA,NA,0,1,1
"2528",1,NA,0,NA,NA,1,1,1
"2529",0,-1,-1,1,NA,1,-2,-1
"2530",-2,-1,NA,NA,NA,1,-1,-1
"2531",-2,-1,-2,1,NA,1,-2,-2
"2532",1,NA,NA,NA,NA,1,-2,-2
"2533",1,-1,-1,NA,NA,1,-1,-1
"2534",-2,-1,-1,NA,NA,2,1,1
"2535",-2,NA,NA,NA,NA,1,1,1
"2536",-2,NA,NA,NA,NA,1,-1,-1
"2537",-2,NA,NA,NA,NA,1,-1,-1
"2538",0,NA,NA,NA,NA,1,-1,-1
"2539",0,NA,NA,NA,NA,1,1,1
"2540",1,NA,NA,NA,NA,1,-1,-2
"2541",1,NA,-2,1,NA,1,-2,-2
"2542",-2,-2,NA,NA,NA,1,-1,-1
"2543",-2,-2,-2,NA,1,-1,1,1
"2544",0,-2,-2,NA,NA,-1,1,1
"2545",2,-2,-2,-2,NA,2,1,1
"2546",1,1,-2,NA,NA,-1,1,1
"2547",-2,2,NA,NA,NA,1,2,2
"2548",1,NA,NA,NA,NA,-2,2,2
"2549",0,NA,NA,NA,NA,-2,2,2
"2550",1,NA,NA,NA,NA,1,2,2
"2551",-2,NA,1,NA,NA,1,-1,-1
"2552",-2,NA,NA,NA,NA,NA,-2,-2
"2553",-2,NA,-2,-2,NA,1,1,1
"2554",-2,NA,NA,2,NA,2,1,1
"2555",1,2,NA,NA,NA,-1,0,0
"2556",-2,2,1,NA,NA,1,1,-1
"2557",2,NA,2,NA,NA,2,2,-1
"2558",-2,1,NA,NA,NA,2,1,1
"2559",1,NA,NA,NA,NA,2,-1,-1
"2560",-2,-2,0,2,2,2,-1,-1
"2561",-1,NA,1,NA,NA,2,2,2
"2562",-2,1,0,NA,NA,1,1,1
"2563",-2,1,NA,NA,NA,1,1,0
"2564",-2,NA,0,NA,NA,1,1,1
"2565",-2,NA,1,NA,NA,1,1,1
"2566",-2,NA,0,1,NA,1,1,1
"2567",-2,NA,1,NA,NA,1,1,1
"2568",2,-2,NA,NA,NA,2,2,2
"2569",-2,NA,NA,NA,NA,2,-1,-1
"2570",-2,-2,NA,NA,NA,2,2,2
"2571",1,2,NA,NA,NA,2,2,2
"2572",-1,NA,2,NA,NA,2,-2,2
"2573",-2,-2,NA,NA,NA,2,2,2
"2574",0,NA,-2,NA,NA,1,1,1
"2575",1,NA,-1,NA,NA,1,1,1
"2576",-1,0,-2,-1,NA,1,2,2
"2577",1,NA,0,NA,NA,2,1,1
"2578",-2,NA,0,NA,NA,1,-1,-1
"2579",-2,-1,-2,NA,NA,2,-1,-1
"2580",0,1,1,NA,NA,1,1,1
"2581",-1,NA,1,NA,NA,2,-1,-1
"2582",-2,-1,-1,NA,NA,-1,1,-1
"2583",-1,NA,-1,NA,NA,1,-1,-1
"2584",-2,1,1,NA,NA,-1,2,2
"2585",-2,NA,NA,NA,NA,NA,1,1
"2586",-2,NA,1,NA,NA,1,1,1
"2587",0,1,NA,NA,-1,2,1,1
"2588",-2,1,-1,NA,NA,-1,-1,-1
"2589",-2,1,NA,NA,NA,-1,1,1
"2590",-2,NA,NA,NA,NA,2,2,2
"2591",-2,-1,NA,NA,NA,2,2,2
"2592",-2,0,NA,NA,NA,2,2,-2
"2593",-2,NA,NA,NA,NA,2,1,-2
"2594",-2,NA,NA,NA,NA,-1,2,1
"2595",0,-1,NA,NA,NA,2,2,2
"2596",-2,-1,NA,NA,NA,2,2,2
"2597",2,NA,-1,NA,2,NA,2,2
"2598",2,NA,-1,-1,2,NA,2,2
"2599",2,NA,-1,NA,NA,NA,2,0
"2600",0,NA,NA,NA,NA,NA,2,2
"2601",-1,NA,-1,NA,NA,1,-1,-1
"2602",-2,NA,-1,-2,NA,1,-1,-1
"2603",-2,-1,-2,NA,2,1,2,2
"2604",0,NA,1,NA,NA,2,1,1
"2605",2,NA,NA,NA,NA,2,1,1
"2606",-1,NA,NA,NA,NA,2,2,2
"2607",-2,1,1,2,2,2,2,2
"2608",-2,2,NA,NA,NA,2,2,2
"2609",-2,-1,-1,1,NA,2,-1,-1
"2610",2,-1,-1,NA,NA,2,2,2
"2611",1,NA,NA,NA,NA,2,1,1
"2612",-2,NA,1,NA,NA,2,2,2
"2613",2,NA,2,NA,NA,0,2,-1
"2614",2,NA,2,NA,NA,-2,2,-1
"2615",-2,NA,1,NA,NA,-1,1,1
"2616",1,NA,NA,NA,NA,2,1,1
"2617",1,NA,NA,NA,NA,2,2,2
"2618",1,NA,0,NA,NA,1,1,1
"2619",0,-1,2,NA,NA,1,0,0
"2620",-1,-1,1,NA,NA,1,1,1
"2621",-2,0,1,0,NA,1,1,1
"2622",1,NA,1,NA,NA,1,1,-1
"2623",-2,-1,1,NA,NA,1,-1,-1
"2624",0,NA,0,1,NA,1,1,1
"2625",0,1,0,NA,1,2,-1,NA
"2626",-2,NA,2,NA,NA,2,2,2
"2627",0,NA,1,NA,NA,2,2,2
"2628",0,NA,-1,NA,NA,2,1,0
"2629",-2,-1,0,NA,1,1,-1,NA
"2630",1,NA,NA,NA,NA,2,1,1
"2631",1,NA,-2,NA,NA,1,1,1
"2632",-2,NA,-2,NA,NA,2,2,2
"2633",-1,-2,NA,NA,NA,1,1,1
"2634",1,NA,NA,NA,NA,1,2,2
"2635",1,-2,NA,NA,NA,2,2,2
"2636",1,NA,NA,NA,NA,1,2,2
"2637",-1,1,1,NA,NA,1,1,0
"2638",-1,1,NA,NA,1,1,1,NA
"2639",1,NA,1,NA,NA,-1,1,NA
"2640",-1,NA,1,NA,NA,1,1,1
"2641",-1,-1,1,NA,NA,1,1,0
"2642",1,1,1,NA,NA,1,1,1
"2643",1,-1,NA,NA,NA,-1,-1,-1
"2644",1,NA,NA,NA,NA,-1,-1,-1
"2645",1,1,NA,NA,NA,1,-1,-1
"2646",1,NA,NA,NA,NA,1,1,1
"2647",1,NA,NA,1,NA,-1,-1,-1
"2648",1,NA,NA,NA,NA,0,-1,-1
"2649",1,NA,NA,NA,NA,0,-1,-1
"2650",-2,NA,-1,NA,NA,1,0,0
"2651",-2,1,0,NA,NA,1,1,-2
"2652",0,NA,0,-1,NA,1,0,0
"2653",0,NA,-1,NA,NA,-1,1,0
"2654",-2,-1,-1,NA,NA,-1,-1,0
"2655",-2,-1,NA,NA,NA,-1,-1,-1
"2656",-2,-1,NA,NA,NA,2,-2,-1
"2657",1,NA,NA,NA,NA,1,1,1
"2658",1,NA,NA,NA,NA,1,1,1
"2659",0,-1,NA,NA,NA,1,2,-2
"2660",0,NA,NA,NA,NA,1,1,1
"2661",-2,NA,NA,1,NA,2,-1,-2
"2662",-2,NA,NA,NA,NA,1,1,1
"2663",-2,NA,NA,1,NA,1,-1,-1
"2664",-2,-1,-1,NA,NA,2,0,0
"2665",-2,NA,0,NA,NA,1,1,1
"2666",1,NA,NA,NA,NA,1,-2,-2
"2667",1,-1,NA,NA,NA,2,2,2
"2668",-2,NA,NA,NA,NA,2,2,2
"2669",-2,NA,NA,-1,NA,2,-1,-1
"2670",-2,-1,NA,1,NA,2,2,2
"2671",1,NA,NA,NA,NA,2,2,2
"2672",1,-1,-1,NA,NA,2,-1,-1
"2673",2,0,0,-1,NA,0,1,1
"2674",-2,2,1,NA,NA,2,-1,-1
"2675",-2,NA,1,2,NA,2,0,0
"2676",-2,NA,NA,NA,NA,-1,2,2
"2677",-2,NA,NA,NA,2,2,2,2
"2678",-2,NA,NA,NA,NA,2,1,NA
"2679",-2,1,0,NA,NA,-1,1,1
"2680",1,NA,0,NA,NA,1,1,1
"2681",-1,NA,NA,NA,NA,2,1,1
"2682",0,NA,1,NA,NA,NA,2,2
"2683",0,NA,0,NA,NA,2,-1,1
"2684",-2,NA,-2,1,1,1,-1,-1
"2685",-2,NA,-2,NA,NA,1,-1,-1
"2686",-2,NA,-1,NA,NA,-2,-2,-2
"2687",-2,NA,-2,NA,NA,1,-1,-1
"2688",-2,NA,-1,NA,NA,-1,1,1
"2689",-2,NA,-1,NA,NA,-2,1,1
"2690",0,-2,1,NA,NA,-2,-2,-1
"2691",2,NA,-2,NA,NA,1,1,1
"2692",1,-1,-1,NA,NA,1,1,1
"2693",-1,NA,NA,NA,NA,1,-2,1
"2694",-2,-1,NA,NA,NA,1,1,1
"2695",0,NA,NA,NA,NA,1,-2,-2
"2696",0,-2,NA,NA,NA,2,1,0
"2697",2,-2,-1,NA,NA,2,-1,1
"2698",-2,2,-1,2,NA,2,1,NA
"2699",2,NA,NA,NA,NA,2,1,NA
"2700",-2,-2,-1,NA,NA,-2,-2,-2
"2701",0,NA,NA,NA,NA,-1,2,2
"2702",2,2,NA,NA,NA,2,2,2
"2703",1,NA,2,2,NA,2,2,2
"2704",-2,2,-1,NA,NA,-1,-2,2
"2705",-2,NA,-2,NA,NA,2,2,2
"2706",-1,NA,NA,NA,NA,2,2,2
"2707",-2,NA,NA,-1,NA,2,2,2
"2708",1,NA,1,-1,NA,1,1,1
"2709",-1,NA,1,1,1,-1,-2,-2
"2710",-1,NA,1,NA,NA,1,1,1
"2711",-2,NA,1,NA,NA,-1,-2,-2
"2712",-2,NA,1,NA,NA,-2,-1,-2
"2713",1,-2,-2,NA,NA,2,-1,-1
"2714",-1,NA,-1,NA,NA,2,1,-1
"2715",0,NA,NA,NA,NA,1,1,1
"2716",-2,NA,1,NA,NA,1,-1,-1
"2717",2,-1,-1,NA,NA,NA,-1,-1
"2718",0,-1,NA,NA,NA,NA,0,0
"2719",1,NA,NA,NA,NA,NA,2,-1
"2720",0,NA,1,2,NA,-2,2,-2
"2721",0,NA,NA,NA,NA,NA,2,-1
"2722",-2,NA,1,NA,NA,1,2,2
"2723",-1,NA,1,NA,NA,1,1,1
"2724",-2,NA,0,NA,NA,1,1,1
"2725",-2,0,1,NA,NA,2,2,-1
"2726",-1,1,-1,NA,NA,2,-1,-1
"2727",-2,1,1,NA,NA,2,2,2
"2728",-1,NA,-1,NA,NA,0,-2,-2
"2729",-1,NA,-2,NA,NA,0,-2,-2
"2730",-2,1,-1,NA,NA,0,-1,-1
"2731",0,NA,-1,NA,NA,1,-2,-2
"2732",1,1,0,1,NA,1,1,1
"2733",1,-1,1,NA,NA,1,1,1
"2734",-2,NA,-1,NA,NA,-1,2,2
"2735",1,-1,-1,-1,NA,-1,2,2
"2736",-2,NA,-1,NA,NA,1,2,2
"2737",0,NA,NA,NA,NA,-1,2,2
"2738",-2,-2,1,NA,NA,-1,1,1
"2739",-2,-1,1,NA,0,1,-1,NA
"2740",-2,-1,NA,NA,NA,2,1,1
"2741",-2,NA,2,1,NA,1,1,0
"2742",-2,-1,-1,0,NA,-1,-1,-2
"2743",1,NA,1,NA,NA,2,1,1
"2744",-1,NA,1,NA,NA,2,-2,-2
"2745",-2,-1,NA,NA,1,1,1,-1
"2746",-2,-2,1,1,NA,1,-1,-1
"2747",-2,NA,1,NA,NA,1,1,0
"2748",-1,1,-1,NA,NA,1,1,1
"2749",-2,NA,NA,NA,NA,1,1,1
"2750",-2,NA,1,NA,1,1,1,1
"2751",0,-1,NA,2,NA,2,2,2
"2752",-2,-1,2,NA,NA,2,2,2
"2753",-1,NA,2,NA,NA,2,2,2
"2754",-2,NA,2,NA,NA,2,2,NA
"2755",-2,-1,2,NA,NA,-2,2,2
"2756",-2,NA,2,NA,NA,1,-1,-2
"2757",1,0,1,NA,NA,-1,0,0
"2758",1,1,1,NA,NA,1,1,0
"2759",1,-1,1,NA,NA,1,1,1
"2760",2,NA,0,NA,2,2,1,0
"2761",0,NA,2,NA,1,1,1,-1
"2762",2,1,1,NA,NA,2,1,1
"2763",1,NA,0,NA,NA,1,1,0
"2764",1,NA,-1,NA,NA,-1,-1,-1
"2765",1,1,0,NA,NA,0,-1,-1
"2766",1,NA,0,NA,NA,0,-1,-1
"2767",1,NA,-1,NA,NA,-1,-1,-1
"2768",1,0,0,NA,NA,-1,-1,1
"2769",1,NA,-1,NA,NA,-1,2,2
"2770",0,NA,1,NA,NA,1,1,1
"2771",-2,-2,2,NA,NA,-1,-1,1
"2772",0,NA,1,NA,NA,2,2,2
"2773",-2,-1,-1,NA,NA,-1,-2,1
"2774",1,NA,0,-1,NA,2,-1,1
"2775",0,NA,-1,NA,NA,0,-1,-1
"2776",0,NA,-1,NA,NA,0,-2,-2
"2777",-2,NA,NA,NA,NA,-2,-2,-2
"2778",0,NA,-1,NA,NA,-2,-2,-2
"2779",-2,-1,-2,-1,NA,1,-2,-2
"2780",0,NA,0,NA,NA,-1,1,-1
"2781",-2,NA,-1,NA,NA,NA,-1,-1
"2782",-2,NA,-1,NA,NA,NA,-1,-1
"2783",-1,NA,-1,NA,NA,NA,-1,-2
"2784",-2,-1,-1,-1,NA,NA,-1,-2
"2785",-1,NA,1,NA,NA,-1,1,1
"2786",-2,NA,0,1,NA,1,1,1
"2787",2,-1,NA,2,NA,2,-1,-1
"2788",0,-1,NA,NA,NA,-2,2,2
"2789",-2,NA,-2,NA,NA,1,1,-1
"2790",0,-2,-2,NA,NA,1,-1,-1
"2791",2,-2,-2,NA,NA,NA,-2,-2
"2792",-1,-1,NA,-1,NA,1,2,-1
"2793",-2,1,-1,NA,NA,1,1,1
"2794",-1,NA,NA,NA,NA,1,0,0
"2795",2,1,1,NA,NA,-1,1,1
"2796",-2,NA,1,0,NA,1,2,2
"2797",-2,1,NA,NA,NA,-1,1,-1
"2798",1,-1,1,1,NA,2,1,1
"2799",1,NA,0,NA,NA,2,-1,-1
"2800",0,NA,-1,NA,NA,2,1,1
"2801",-2,NA,0,NA,NA,1,0,-1
"2802",1,1,-1,NA,NA,2,2,2
"2803",-2,NA,NA,NA,NA,-1,-1,-1
"2804",1,NA,1,NA,NA,2,1,1
"2805",-2,0,1,NA,NA,-1,2,-1
"2806",-2,2,1,NA,NA,2,-1,1
"2807",1,NA,-1,NA,NA,2,2,2
"2808",-2,NA,0,NA,NA,2,2,-1
"2809",-2,NA,1,NA,NA,2,1,1
"2810",1,2,0,-1,NA,1,-1,1
"2811",1,-1,1,2,NA,0,-1,-1
"2812",0,0,1,NA,NA,2,2,2
"2813",-2,NA,-1,0,0,1,-1,-2
"2814",-2,NA,1,NA,NA,2,-1,1
"2815",-2,NA,-1,NA,NA,2,-1,1
"2816",-2,-1,1,NA,NA,2,2,2
"2817",2,-2,1,NA,NA,1,2,1
"2818",-2,NA,0,NA,NA,2,2,2
"2819",-2,-2,NA,NA,NA,1,1,1
"2820",1,1,1,NA,NA,2,1,1
"2821",1,NA,1,NA,NA,2,1,1
"2822",1,1,-1,NA,NA,1,2,1
"2823",1,NA,1,NA,NA,2,2,2
"2824",1,0,0,NA,NA,2,1,1
"2825",-2,NA,NA,NA,NA,NA,2,2
"2826",0,NA,-1,NA,NA,2,2,2
"2827",2,NA,NA,NA,NA,2,2,2
"2828",-2,0,1,NA,NA,NA,0,-2
"2829",-1,-1,0,NA,NA,1,1,1
"2830",-2,NA,NA,NA,NA,1,-1,-1
"2831",-2,NA,NA,1,NA,1,1,1
"2832",-2,-2,1,NA,NA,1,1,0
"2833",-2,1,1,NA,NA,1,1,1
"2834",-2,-1,-1,NA,NA,1,-1,1
"2835",1,NA,-1,NA,NA,NA,1,1
"2836",1,-1,NA,NA,NA,1,1,1
"2837",-1,NA,NA,NA,NA,1,1,1
"2838",-2,2,0,NA,NA,1,1,1
"2839",0,NA,NA,NA,NA,1,1,1
"2840",-2,-2,1,NA,NA,1,1,1
"2841",-2,-2,1,NA,NA,1,-1,1
"2842",-1,0,NA,NA,2,2,2,2
"2843",-2,NA,2,NA,NA,1,1,1
"2844",0,-2,NA,NA,NA,NA,2,2
"2845",-1,-2,1,NA,NA,1,1,0
"2846",1,2,-1,NA,NA,2,1,1
"2847",-2,2,-1,NA,NA,2,2,2
"2848",1,0,0,NA,NA,2,1,1
"2849",2,-2,0,NA,NA,1,2,2
"2850",2,NA,0,NA,NA,1,2,2
"2851",0,NA,0,NA,NA,1,2,2
"2852",2,NA,1,NA,NA,0,2,-2
"2853",-2,NA,1,NA,NA,1,1,1
"2854",-2,1,1,NA,NA,2,2,2
"2855",-2,NA,1,NA,NA,1,2,2
"2856",2,-1,1,NA,NA,0,2,-1
"2857",2,NA,0,-1,NA,2,2,NA
"2858",-1,-2,-2,2,NA,2,2,-2
"2859",2,NA,1,2,NA,1,2,0
"2860",-2,NA,1,NA,NA,2,2,-2
"2861",2,NA,0,NA,NA,-1,2,-2
"2862",1,NA,1,NA,NA,-1,2,-1
"2863",0,NA,1,NA,NA,1,-1,1
"2864",-2,NA,1,NA,NA,1,-1,1
"2865",-2,-1,1,NA,2,2,2,2
"2866",-2,-2,1,2,NA,2,2,2
"2867",-2,-1,-1,1,NA,-1,-1,1
"2868",0,NA,2,NA,2,2,NA,NA
"2869",-1,0,1,NA,NA,2,2,2
"2870",0,NA,2,NA,NA,2,2,1
"2871",-2,-1,1,NA,NA,1,-1,1
"2872",-2,NA,2,NA,2,1,1,1
"2873",-1,1,1,NA,NA,2,1,1
"2874",-1,NA,1,NA,NA,1,-1,-1
"2875",-2,NA,1,NA,NA,-1,1,1
"2876",-1,NA,1,NA,NA,1,1,1
"2877",-2,NA,NA,NA,NA,1,1,1
"2878",0,NA,0,1,NA,1,2,2
"2879",0,NA,1,NA,NA,-2,2,2
"2880",1,1,1,NA,NA,1,2,-2
"2881",-2,NA,0,NA,NA,NA,2,2
"2882",2,1,1,NA,NA,-1,2,2
"2883",2,NA,1,NA,NA,0,2,-2
"2884",-2,1,-1,NA,NA,0,2,-2
"2885",1,NA,NA,NA,NA,0,2,0
"2886",-2,-1,1,-1,NA,-1,2,-2
"2887",1,2,-1,NA,NA,0,2,1
"2888",0,-1,-2,NA,NA,1,1,1
"2889",-1,1,1,NA,NA,1,NA,NA
"2890",2,NA,1,NA,NA,2,2,2
"2891",2,NA,1,NA,NA,2,-1,2
"2892",2,NA,0,NA,NA,2,2,2
"2893",1,2,2,NA,-1,2,2,2
"2894",1,-1,2,NA,NA,1,1,1
"2895",2,NA,0,NA,NA,2,2,2
"2896",2,NA,0,NA,NA,-2,1,1
"2897",1,-1,1,NA,NA,-1,-1,1
"2898",-2,1,1,2,0,2,1,1
"2899",1,NA,1,NA,NA,1,1,1
"2900",2,-2,1,NA,NA,1,1,1
"2901",1,-1,1,NA,NA,1,1,1
"2902",1,NA,1,1,NA,-2,-1,1
"2903",0,-1,2,NA,1,1,1,1
"2904",1,NA,0,NA,NA,-1,0,0
"2905",2,NA,1,NA,NA,1,1,1
"2906",1,NA,0,NA,NA,1,-1,1
"2907",2,-1,2,NA,NA,1,2,1
"2908",1,-1,1,NA,NA,-2,2,2
"2909",2,NA,1,2,NA,1,2,2
"2910",-2,NA,-2,NA,NA,-2,2,-2
"2911",2,2,1,NA,NA,0,2,2
"2912",1,NA,NA,2,NA,-1,1,-2
"2913",2,NA,-2,NA,NA,-2,2,1
"2914",-2,NA,NA,NA,NA,NA,-1,-1
"2915",-2,NA,0,-1,NA,1,-1,-1
"2916",2,NA,0,NA,2,2,2,2
"2917",2,NA,-1,NA,1,0,2,2
"2918",2,NA,2,NA,NA,-1,2,2
"2919",1,-1,1,NA,1,1,1,1
"2920",0,NA,-1,NA,NA,1,-1,-1
"2921",1,NA,1,NA,NA,2,1,1
"2922",2,NA,0,NA,NA,2,-1,1
"2923",0,NA,NA,NA,NA,1,1,1
"2924",2,NA,0,NA,NA,2,1,2
"2925",-2,NA,0,NA,NA,2,1,1
"2926",-2,NA,NA,NA,NA,1,2,2
"2927",1,NA,-1,NA,NA,2,2,2
"2928",2,NA,NA,NA,NA,2,2,2
"2929",1,0,1,NA,NA,2,2,2
"2930",1,1,1,2,NA,-1,2,2
"2931",2,1,0,NA,NA,0,2,2
"2932",-2,-1,2,NA,NA,-2,2,2
"2933",2,1,1,NA,NA,1,2,2
"2934",2,-1,-1,NA,-1,1,1,1
"2935",2,1,1,NA,-2,1,2,2
"2936",-1,-1,1,NA,1,2,2,2
"2937",2,NA,1,2,2,1,-1,-1
"2938",0,NA,1,NA,NA,1,-2,-1
"2939",2,NA,0,1,NA,1,1,1
"2940",-2,-1,1,NA,NA,1,-1,1
"2941",1,-1,0,NA,NA,-1,1,1
"2942",1,NA,2,NA,NA,-1,1,1
"2943",-2,NA,-1,NA,NA,-1,-1,1
"2944",1,-1,-1,-1,NA,1,2,2
"2945",1,NA,1,NA,NA,1,1,1
"2946",2,-1,1,NA,NA,1,2,2
"2947",-2,NA,-1,-2,NA,-2,-1,1
"2948",0,NA,-1,NA,NA,NA,-1,-1
"2949",0,NA,1,NA,NA,1,1,1
"2950",1,-1,2,NA,NA,-1,1,1
"2951",-2,NA,-2,1,NA,-1,-2,1
"2952",-2,NA,2,-1,NA,-1,1,1
"2953",2,1,2,1,2,2,2,2
"2954",-2,-1,-1,NA,NA,1,-1,-1
"2955",0,NA,NA,1,NA,2,2,2
