"","trust_government","health_satisfaction","transport_satisfaction","admin_satisfaction","social_satisfaction","financial_satisfaction","food_markets_satisfaction","non_food_markets_satisfaction"
"136",-1,NA,2,NA,NA,NA,2,2
"137",1,0,1,NA,NA,1,1,1
"138",0,NA,1,-2,NA,1,-1,-1
"139",1,-1,-1,0,0,2,1,1
"140",1,NA,-2,NA,NA,2,-1,-1
"141",-2,2,NA,-1,NA,1,2,2
"142",1,NA,NA,0,NA,0,1,0
"143",-2,-1,1,NA,NA,1,1,1
"144",0,NA,1,NA,NA,0,-1,0
"145",1,NA,-1,NA,NA,2,-1,-1
"146",-1,-1,-1,NA,-1,1,-1,0
"147",-2,NA,0,NA,NA,2,-1,1
"148",-2,NA,2,NA,NA,2,2,2
"149",2,1,0,NA,NA,-1,1,1
"150",2,NA,2,NA,NA,2,1,0
"151",1,-2,NA,NA,NA,2,0,0
"152",-1,NA,NA,2,1,2,1,1
"153",-2,NA,1,NA,NA,2,2,1
"154",-2,1,NA,1,NA,2,2,2
"155",-2,0,NA,NA,NA,0,-1,0
"156",-2,NA,NA,2,NA,2,2,1
"157",-2,NA,1,NA,NA,1,-1,1
"158",-1,1,1,NA,1,2,1,1
"159",-2,1,-2,NA,NA,-2,1,0
"160",-1,NA,1,1,NA,2,2,2
"161",-2,-1,1,1,NA,-1,-1,-1
"162",0,NA,2,NA,NA,-1,2,-1
"163",-1,NA,-2,NA,NA,-2,2,0
"164",-2,NA,-1,-1,NA,1,1,1
"165",-2,2,-1,NA,NA,1,2,1
"166",-2,NA,-1,NA,NA,1,-1,-1
"167",0,NA,-1,NA,NA,2,2,2
"168",1,NA,0,NA,NA,1,2,2
"169",1,NA,0,NA,NA,1,2,2
"170",1,NA,0,NA,NA,1,1,1
"171",1,NA,1,NA,NA,0,2,2
"172",-2,NA,0,NA,NA,0,-1,-1
"173",1,NA,-2,NA,NA,1,2,2
"174",-1,NA,-1,NA,NA,1,1,1
"175",-1,NA,0,1,NA,0,1,-1
"176",-2,NA,0,NA,NA,1,1,1
"177",-2,NA,1,NA,NA,0,1,1
"178",-2,NA,1,NA,NA,-1,-1,0
"179",-2,NA,0,1,NA,-1,1,1
"180",0,NA,-1,NA,NA,NA,-2,-2
"181",1,1,0,NA,NA,1,1,1
"182",0,1,NA,2,NA,2,2,2
"183",1,NA,NA,NA,NA,2,2,2
"184",1,NA,0,NA,NA,1,1,1
"185",-1,NA,NA,NA,NA,1,2,2
"186",-2,1,-1,NA,NA,1,-1,-1
"187",-2,0,-2,NA,NA,-1,-2,-2
"188",1,-2,-1,1,2,-1,-2,2
"189",1,-1,NA,NA,NA,2,1,1
"190",1,1,-1,NA,NA,1,1,1
"191",-2,NA,-1,NA,NA,1,2,2
"192",-2,-2,1,NA,NA,NA,-2,-2
"193",-2,0,NA,NA,NA,1,-1,-1
"194",0,-1,0,NA,NA,1,2,-1
"195",0,1,NA,NA,2,1,1,1
"196",1,0,1,NA,NA,2,2,2
"197",1,NA,1,NA,NA,1,-1,-1
"198",-2,NA,NA,NA,NA,2,NA,NA
"199",-2,NA,-2,NA,NA,-1,-1,-1
"200",2,-1,1,NA,NA,1,2,2
"201",-2,NA,1,NA,NA,2,1,1
"202",1,NA,1,NA,NA,1,1,1
"203",1,NA,NA,NA,NA,NA,1,0
"204",0,NA,NA,NA,NA,2,2,0
"205",0,NA,NA,-1,NA,2,2,2
"206",0,NA,0,NA,NA,NA,2,2
"207",-2,-1,1,NA,2,2,2,2
"208",-1,-1,1,NA,NA,2,-1,-1
"209",0,1,NA,NA,NA,1,2,2
"210",-1,NA,-1,-1,NA,2,1,1
"211",2,NA,1,2,NA,2,2,2
"212",-2,-1,-2,NA,NA,-1,-1,0
"213",1,-1,1,1,NA,2,2,2
"214",-2,-2,-2,NA,NA,-2,1,1
"215",-2,NA,NA,2,-2,2,2,2
"216",2,NA,NA,NA,NA,1,2,2
"217",2,NA,0,NA,NA,0,-1,-2
"218",1,1,NA,NA,NA,-1,-1,-1
"219",-1,NA,-1,NA,NA,2,-1,-1
"220",-2,0,NA,NA,NA,2,2,2
"221",1,-1,-1,NA,NA,1,-1,-1
"222",-2,NA,NA,NA,NA,1,1,0
"223",1,NA,-2,NA,NA,2,2,2
"224",2,1,0,NA,NA,0,-1,0
"225",-2,NA,0,NA,NA,2,2,2
"226",-2,NA,2,NA,NA,-2,1,1
"227",-1,1,NA,1,NA,2,2,2
"228",2,NA,1,NA,NA,2,2,2
"229",-2,-2,-2,NA,NA,-2,0,0
"230",-2,NA,1,NA,NA,1,2,2
"231",2,NA,1,NA,NA,1,-1,0
"232",-2,NA,0,NA,NA,2,2,2
"233",-2,NA,1,NA,NA,2,1,1
"234",-1,NA,-1,NA,NA,2,1,1
"235",-1,NA,2,NA,NA,NA,1,1
"236",-1,NA,2,NA,NA,2,2,1
"237",1,-1,NA,NA,NA,1,-1,-1
"238",0,-1,2,NA,NA,1,2,2
"239",-2,1,-2,NA,NA,1,1,1
"240",-2,-1,NA,NA,NA,1,2,-1
"241",1,-1,NA,NA,2,2,1,0
"242",1,NA,0,NA,NA,0,-2,-1
"243",0,NA,0,NA,NA,0,0,0
"244",1,NA,-1,NA,NA,0,-1,-1
"245",1,NA,NA,NA,NA,-1,2,2
"246",1,NA,0,NA,NA,0,-1,-1
"247",1,NA,NA,1,NA,0,1,1
"248",-1,NA,2,NA,NA,2,2,2
"249",-1,NA,NA,NA,NA,2,2,2
"250",-2,NA,-2,NA,NA,2,1,1
"251",-2,-1,-1,NA,NA,1,-1,0
"252",-1,NA,1,1,1,1,1,1
"253",0,1,NA,2,2,2,1,1
"254",-2,NA,-2,NA,2,2,1,1
"255",-1,NA,0,NA,1,2,-1,0
"256",1,-1,0,NA,NA,2,1,1
"257",2,NA,NA,NA,NA,2,1,1
"258",2,NA,-1,NA,2,2,1,1
"259",-2,NA,-1,NA,-1,-2,1,0
"260",1,-1,1,NA,NA,2,2,2
"261",1,NA,NA,NA,2,-1,2,2
"262",1,NA,NA,NA,NA,1,1,1
"263",1,1,-2,NA,NA,-2,1,1
"264",2,NA,NA,2,NA,2,2,2
"265",2,NA,2,NA,NA,-2,2,0
"266",-1,NA,2,NA,NA,0,2,0
"267",1,NA,NA,NA,NA,-2,2,2
"268",-2,-2,NA,NA,NA,2,-1,-1
"269",-1,1,-2,NA,NA,0,1,1
"270",-2,-2,NA,-2,NA,0,1,1
"271",2,NA,-1,NA,-1,1,1,1
"272",-1,1,1,NA,NA,2,2,-1
"273",-2,NA,NA,1,1,1,-1,-1
"274",-2,NA,-1,NA,NA,-2,-2,NA
"275",-1,NA,-1,NA,NA,-1,2,2
"276",1,NA,0,NA,NA,-1,2,1
"277",-2,NA,0,NA,NA,2,-1,1
"278",1,1,NA,-1,NA,1,-1,-1
"279",-2,NA,NA,NA,NA,2,2,0
"280",-2,NA,NA,NA,NA,-1,1,1
"281",-2,-1,NA,NA,NA,-1,1,-1
"282",1,1,1,1,NA,2,1,1
"283",0,NA,1,NA,NA,1,2,2
"284",2,-1,0,NA,NA,-1,1,1
"285",2,1,-1,1,NA,-1,1,1
"286",-2,NA,-2,NA,2,1,1,1
"287",2,1,1,NA,1,-1,1,1
"288",-1,-2,-2,NA,NA,-2,1,1
"289",-2,NA,NA,NA,NA,NA,2,2
"290",-2,NA,-1,NA,NA,-1,1,1
"291",-1,1,1,NA,NA,1,2,2
"292",0,NA,-2,NA,NA,NA,1,1
"293",1,NA,NA,NA,NA,2,1,1
"294",-2,NA,-2,NA,NA,NA,-2,-2
"295",-2,NA,-1,1,NA,-1,2,1
"296",-2,NA,NA,NA,NA,0,2,2
"297",-2,NA,NA,NA,NA,1,2,2
"298",-2,NA,NA,NA,NA,2,-1,2
"299",2,NA,NA,NA,-1,0,1,0
"300",1,NA,-2,NA,2,1,1,-1
"301",1,-1,1,NA,NA,1,1,1
"302",1,2,NA,NA,NA,2,1,1
"303",-2,NA,-2,NA,NA,-2,0,-1
"304",0,NA,0,0,NA,1,1,1
"305",1,NA,-2,NA,NA,NA,-1,-1
"306",0,NA,1,NA,NA,-1,-1,-1
"307",2,NA,NA,NA,NA,1,1,0
"308",1,NA,1,NA,NA,-1,2,2
"309",1,-1,1,2,NA,2,-1,-1
"310",1,NA,NA,NA,NA,0,1,NA
"311",-2,1,1,NA,NA,1,2,-1
"312",1,NA,-2,NA,-2,1,1,1
"313",-2,NA,2,NA,NA,NA,1,1
"314",2,NA,-1,NA,NA,-1,1,1
"315",-2,0,-2,NA,NA,-1,1,1
"316",2,NA,1,NA,1,1,2,2
"317",1,NA,NA,NA,NA,-1,2,1
"318",-2,NA,2,NA,NA,2,-1,-1
"319",-1,NA,0,1,NA,2,2,2
"320",-2,-2,NA,NA,NA,1,1,1
"321",-2,-2,2,0,NA,2,1,2
"322",2,1,1,NA,NA,0,0,0
"323",0,2,0,NA,NA,2,2,2
"324",1,NA,2,NA,NA,0,0,0
"325",-1,NA,1,-2,NA,NA,2,2
"326",-1,1,0,NA,NA,-1,1,0
"327",1,NA,0,NA,NA,2,-1,-1
"328",1,NA,-1,NA,NA,1,-1,-1
"329",1,NA,0,NA,NA,0,0,0
"330",1,NA,0,NA,NA,0,1,-1
"331",0,NA,0,NA,NA,0,-1,-1
"332",1,NA,0,NA,NA,0,1,1
"333",1,1,-2,NA,NA,1,-1,-1
"334",-2,-1,NA,NA,NA,1,2,2
"335",1,-1,1,1,NA,2,1,1
"336",-2,NA,1,NA,NA,2,1,1
"337",2,0,-1,1,NA,-1,1,1
"338",-2,2,1,NA,NA,1,2,1
"339",0,NA,0,NA,NA,1,1,1
"340",0,1,-2,NA,NA,1,1,1
"341",-2,NA,-1,NA,NA,0,1,2
"342",-1,-1,-2,NA,1,1,1,1
"343",-2,NA,NA,NA,NA,NA,1,1
"344",1,NA,-2,NA,NA,1,1,0
"345",2,NA,NA,2,NA,1,1,1
"346",2,NA,1,NA,NA,2,-1,-1
"347",2,-2,NA,NA,2,2,1,1
"348",2,2,-1,NA,NA,-1,-1,-1
"349",-2,0,NA,NA,NA,-2,2,2
"350",-2,-2,-2,NA,NA,2,1,-1
"351",-1,1,1,NA,NA,2,2,2
"352",1,1,-2,1,1,1,1,1
"353",-2,NA,NA,NA,NA,-1,-1,-1
"354",-1,0,1,NA,NA,2,-1,-1
"355",0,-2,0,NA,NA,0,2,2
"356",-2,-2,-2,NA,NA,1,2,2
"357",-2,-1,NA,2,NA,-2,2,2
"358",1,-1,-1,1,NA,-1,1,-1
"359",-1,NA,2,NA,NA,NA,2,2
"360",0,NA,NA,NA,2,2,2,2
"361",-2,-1,2,NA,NA,NA,-2,-2
"362",0,NA,1,NA,NA,2,1,1
"363",0,NA,-1,NA,1,-1,1,0
"364",2,-1,0,NA,NA,-1,1,1
"365",-2,-1,-2,NA,NA,-1,2,2
"366",0,-1,-1,NA,NA,1,1,1
"367",0,NA,1,NA,1,2,1,1
"368",-2,0,NA,0,-2,0,0,0
"369",0,NA,1,NA,NA,NA,1,-1
"370",0,NA,1,1,NA,1,-1,-1
"371",0,NA,1,NA,NA,1,1,1
"372",2,NA,1,NA,NA,NA,2,2
"373",-2,-2,-2,NA,NA,NA,-2,-2
"374",-2,NA,1,1,-1,0,-1,-1
"375",1,NA,NA,NA,NA,NA,2,2
"376",0,-1,2,1,1,1,-1,-1
"377",-2,-1,-2,NA,NA,1,2,1
"378",2,NA,0,NA,NA,0,1,0
"379",0,1,2,NA,NA,NA,-2,-2
"380",2,NA,2,NA,NA,-1,1,1
"381",-2,NA,NA,NA,NA,-1,1,1
"382",1,NA,NA,NA,NA,0,1,0
"383",1,1,NA,NA,NA,1,2,1
"384",1,NA,1,NA,NA,2,-1,-1
"385",1,-2,-1,NA,NA,-1,1,1
"386",2,2,2,NA,NA,NA,1,1
"387",1,NA,NA,NA,NA,NA,2,1
"388",1,NA,NA,NA,NA,1,2,2
"389",1,1,-1,NA,NA,-1,1,-1
"390",-1,NA,2,NA,NA,2,2,2
"391",1,NA,1,NA,NA,2,2,2
"392",1,NA,NA,NA,NA,1,1,1
"393",-2,NA,NA,NA,-1,1,1,1
"394",-1,0,0,NA,NA,-1,0,0
"395",1,NA,-1,NA,NA,1,1,1
"396",1,NA,2,NA,NA,2,1,1
"397",2,NA,2,NA,NA,2,2,2
"398",-2,NA,NA,NA,NA,1,2,1
"399",1,0,0,NA,0,1,1,1
"400",1,0,NA,NA,NA,2,2,2
